ID,Site,pop_denomE,housing_numE,income_numE,ALAND,density.km2,housing.km2,p_white,p_black,white_numE,black_numE,imperv.mean,tree.mean,RICHNESS,SHANNON,StudyArea
16,Rose City Park,2433,932,25625,6548872,371.5143616,142.3145849,19.19441019,77.18865598,467,1878,0,0,2,0.636514168,Little Rock
17,Sherman Park,1009,360,14405,8485881,118.9033879,42.42340895,0,98.61248761,0,995,42.79758072,0,5,1.47013192,Little Rock
18,Terry Mansion Park,1432,998,27500,868119,1649.543438,1149.611977,49.37150838,39.03631285,707,559,22.26664162,50.00880051,2,0.482577565,Little Rock
19,Two Rivers Park,2983,1350,68643,27391402,108.9027864,49.28553858,46.79852497,23.70097218,1396,707,0,1.909510612,6,1.470106531,Little Rock
20,Willow Beach Use Area,2186,838,58581,198481950,11.01359595,4.222046388,55.58096981,38.4263495,1215,840,0,90.00304413,6,1.513092916,Little Rock
1,Alta Woods Park,1813,544,34113,2549796,711.0372751,213.3504014,5.239933811,94.76006619,95,1718,1.912303139,84.37811489,2,0.107509396,Jackson
2,Battlefield Park,674,292,20000,724659,930.0926367,402.9481453,15.43026706,84.56973294,104,570,7.674299938,61.43702741,2,0.060227918,Jackson
3,Boyll Park,1998,913,84087,3374156,592.1480809,270.5861851,87.53753754,9.70970971,1749,194,0.9703862,89.35421404,4,0.614966013,Jackson
4,Bright Park,1517,513,53656,23373432,64.90274941,21.94799634,57.61371127,38.03559657,874,577,0,75.33328881,2,0.022467831,Jackson
5,Brighton Park,1058,416,114167,3315991,319.0599733,125.4526927,72.30623819,26.3705104,765,279,7.37013465,0,2,0.233791659,Jackson
6,Clinton Community Nature Center,1299,516,81118,2113570,614.5999423,244.1366976,93.456505,1.924557352,1214,25,0,96.96663628,6,1.015675057,Jackson
7,Green Oak Lane,2343,827,99116,8957756,261.5610427,92.32222892,71.74562527,18.48058045,1681,433,0.170460882,94.43804737,8,0.649960909,Jackson
8,Greenwood Cemetery,796,546,31250,639190,1245.326116,854.2061046,20.72864322,76.00502513,165,605,16.74307977,30.79126085,4,0.276355058,Jackson
9,Madison Avenue Elementary School,1811,607,115804,1998099,906.3614966,303.7887512,70.95527333,16.2893429,1285,295,1.318482663,79.85530925,7,1.353702718,Jackson
10,Manhattan Park,1253,647,39122,474457,2640.913718,1363.664147,8.619313647,88.82681564,108,1113,2.296360122,85.3293126,4,0.845581144,Jackson
11,Millsaps College,1077,236,20793,845418,1273.926034,279.1518515,24.60538533,72.79480037,265,784,29.79719494,0,5,0.93096123,Jackson
12,Montgomery Cemetary,2161,854,94922,8835884,244.5708884,96.65133675,56.73299398,30.68024063,1226,663,31.89974704,32.46772204,4,0.856159508,Jackson
13,Moores Greenhouse,2388,1484,33194,20936517,114.0590863,70.88093975,48.91122278,49.49748744,1168,1182,0,55.63759532,4,0.515205167,Jackson
14,Natchez Trace Parkway East,2668,861,62841,7126371,374.384101,120.8188572,35.64467766,59.82008996,951,1596,0.388851076,60.88849646,4,0.852853093,Jackson
15,North Park Mall,2516,1027,61534,2044936,1230.356353,502.2162063,32.59141494,56.63751987,820,1425,2.02679861,76.18439175,6,1.037783446,Jackson
16,Old Brandon Cemetery,1722,445,83095,2452142,702.2431817,181.4739929,71.95121951,22.59001161,1239,389,8.252549214,0,6,1.285417473,Jackson
17,Old Towne Middle School,1292,360,83750,6455694,200.1334016,55.76472491,89.08668731,9.829721362,1151,127,10.67934909,65.66714247,5,1.389693107,Jackson
18,Parkway East,2158,789,99150,16006109,134.8235227,49.29367906,80.39851715,11.86283596,1735,256,0,40.05935313,5,0.883247074,Jackson
19,Pearl Municipal Golf Course,739,391,44158,3197213,231.1388075,122.2940104,84.43843031,12.58457375,624,93,19.14679388,54.86541432,7,1.596437409,Jackson
20,Shiloh Park,2823,1154,89894,9112490,309.7945786,126.6393708,72.29897272,25.22139568,2041,712,0,27.81557581,4,0.942852941,Jackson
21,Tougaloo Park,933,472,NA,1896437,491.9752146,248.8877827,1.607717042,98.17792069,15,916,0.965474795,76.55655422,5,1.447675549,Jackson
22,Twin Cedars,2343,827,99116,8957756,261.5610427,92.32222892,71.74562527,18.48058045,1681,433,21.89719716,0,3,0.456334432,Jackson
23,West Side Park,529,253,32083,1062054,498.0914341,238.2176424,0,100,0,529,11.24511644,69.7551101,1,0,Jackson
